,scores,average_scores
0,-1.0,-1.0
1,0.0,-0.5
2,-1.0,-0.6666666666666666
3,2.0,0.0
4,-1.0,-0.2
5,2.0,0.16666666666666666
6,0.0,0.14285714285714285
7,0.0,0.125
8,0.0,0.1111111111111111
9,1.0,0.2
10,-2.0,0.0
11,1.0,0.08333333333333333
12,0.0,0.07692307692307693
13,-2.0,-0.07142857142857142
14,-1.0,-0.13333333333333333
15,2.0,0.0
16,-1.0,-0.058823529411764705
17,0.0,-0.05555555555555555
18,-1.0,-0.10526315789473684
19,-1.0,-0.15
20,0.0,-0.14285714285714285
21,1.0,-0.09090909090909091
22,1.0,-0.043478260869565216
23,2.0,0.041666666666666664
24,0.0,0.04
25,0.0,0.038461538461538464
26,-1.0,0.0
27,1.0,0.03571428571428571
28,0.0,0.034482758620689655
29,0.0,0.03333333333333333
30,-1.0,0.0
31,-1.0,-0.03125
32,-2.0,-0.09090909090909091
33,0.0,-0.08823529411764706
34,1.0,-0.05714285714285714
35,1.0,-0.027777777777777776
36,1.0,0.0
37,2.0,0.05263157894736842
38,2.0,0.10256410256410256
39,1.0,0.125
40,0.0,0.12195121951219512
41,-1.0,0.09523809523809523
42,-1.0,0.06976744186046512
43,-1.0,0.045454545454545456
44,2.0,0.08888888888888889
45,2.0,0.13043478260869565
46,1.0,0.14893617021276595
47,1.0,0.16666666666666666
48,1.0,0.1836734693877551
49,0.0,0.18
50,1.0,0.19607843137254902
51,5.0,0.28846153846153844
52,1.0,0.3018867924528302
53,2.0,0.3333333333333333
54,1.0,0.34545454545454546
55,2.0,0.375
56,0.0,0.3684210526315789
57,0.0,0.3620689655172414
58,-1.0,0.3389830508474576
59,-1.0,0.31666666666666665
60,1.0,0.32786885245901637
61,2.0,0.3548387096774194
62,3.0,0.3968253968253968
63,1.0,0.40625
64,0.0,0.4
65,2.0,0.42424242424242425
66,2.0,0.44776119402985076
67,0.0,0.4411764705882353
68,1.0,0.4492753623188406
69,0.0,0.44285714285714284
70,2.0,0.4647887323943662
71,0.0,0.4583333333333333
72,0.0,0.4520547945205479
73,3.0,0.4864864864864865
74,0.0,0.48
75,1.0,0.4868421052631579
76,3.0,0.5194805194805194
77,0.0,0.5128205128205128
78,0.0,0.5063291139240507
79,1.0,0.5125
80,3.0,0.5432098765432098
81,0.0,0.5365853658536586
82,0.0,0.5301204819277109
83,0.0,0.5238095238095238
84,0.0,0.5176470588235295
85,1.0,0.5232558139534884
86,1.0,0.5287356321839081
87,1.0,0.5340909090909091
88,2.0,0.550561797752809
89,0.0,0.5444444444444444
90,3.0,0.5714285714285714
91,0.0,0.5652173913043478
92,0.0,0.5591397849462365
93,1.0,0.5638297872340425
94,0.0,0.5578947368421052
95,1.0,0.5625
96,2.0,0.5773195876288659
97,2.0,0.5918367346938775
98,2.0,0.6060606060606061
99,5.0,0.65
100,2.0,0.68
101,2.0,0.7
102,1.0,0.72
103,3.0,0.73
104,0.0,0.74
105,1.0,0.73
106,2.0,0.75
107,0.0,0.75
108,3.0,0.78
109,0.0,0.77
110,2.0,0.81
111,0.0,0.8
112,2.0,0.82
113,0.0,0.84
114,5.0,0.9
115,1.0,0.89
116,5.0,0.95
117,3.0,0.98
118,2.0,1.01
119,6.0,1.08
120,1.0,1.09
121,5.0,1.13
122,3.0,1.15
123,0.0,1.13
124,2.0,1.15
125,2.0,1.17
126,5.0,1.23
127,4.0,1.26
128,2.0,1.28
129,0.0,1.28
130,2.0,1.31
131,6.0,1.38
132,2.0,1.42
133,0.0,1.42
134,5.0,1.46
135,0.0,1.45
136,5.0,1.49
137,-1.0,1.46
138,3.0,1.47
139,4.0,1.5
140,5.0,1.55
141,5.0,1.61
142,2.0,1.64
143,2.0,1.67
144,2.0,1.67
145,4.0,1.69
146,10.0,1.78
147,2.0,1.79
148,5.0,1.83
149,4.0,1.87
150,4.0,1.9
151,6.0,1.91
152,5.0,1.95
153,2.0,1.95
154,2.0,1.96
155,3.0,1.97
156,7.0,2.04
157,3.0,2.07
