,trial_id,state,value,datetime_start,datetime_complete,params,params,params
,,,,,,batch_size,fc_units,learning_rate
51,51,TrialState.COMPLETE,397.0,2018-12-05 01:34:24.669431,2018-12-05 01:42:43.872726,256,64,0.001
52,52,TrialState.COMPLETE,417.0,2018-12-05 01:42:43.892386,2018-12-05 01:51:24.207139,256,32,0.0005
53,53,TrialState.COMPLETE,435.0,2018-12-05 01:51:24.229500,2018-12-05 02:00:22.880122,256,32,0.0005
54,54,TrialState.COMPLETE,411.0,2018-12-05 02:00:22.900894,2018-12-05 02:08:58.915407,256,32,0.0005
55,55,TrialState.COMPLETE,446.0,2018-12-05 02:08:58.936402,2018-12-05 02:18:10.727352,256,32,0.0001
56,56,TrialState.COMPLETE,403.0,2018-12-05 02:18:10.747565,2018-12-05 02:26:39.226074,256,32,0.0005
57,57,TrialState.COMPLETE,426.0,2018-12-05 02:26:39.247663,2018-12-05 02:35:31.507448,256,64,5e-05
58,58,TrialState.COMPLETE,448.0,2018-12-05 02:35:31.536790,2018-12-05 02:42:38.105665,32,32,0.001
59,59,TrialState.COMPLETE,408.0,2018-12-05 02:42:38.128882,2018-12-05 02:49:31.360856,64,32,0.0005
60,60,TrialState.COMPLETE,425.0,2018-12-05 02:49:31.374465,2018-12-05 02:58:28.019741,256,32,0.0005
61,61,TrialState.COMPLETE,434.0,2018-12-05 02:58:28.046368,2018-12-05 03:07:27.012299,256,32,0.0001
62,62,TrialState.COMPLETE,462.0,2018-12-05 03:07:27.034927,2018-12-05 03:16:53.420127,256,64,0.0005
63,63,TrialState.COMPLETE,543.0,2018-12-05 03:16:53.440929,2018-12-05 03:25:35.538756,64,32,5e-05
64,64,TrialState.COMPLETE,427.0,2018-12-05 03:25:35.559295,2018-12-05 03:32:24.531480,32,32,0.001
65,65,TrialState.COMPLETE,408.0,2018-12-05 03:32:24.554459,2018-12-05 03:39:50.249697,128,32,0.0005
66,66,TrialState.COMPLETE,423.0,2018-12-05 03:39:50.281402,2018-12-05 03:47:27.579949,128,32,0.0005
67,67,TrialState.COMPLETE,441.0,2018-12-05 03:47:27.602147,2018-12-05 03:55:20.990771,128,32,0.0005
68,68,TrialState.COMPLETE,377.0,2018-12-05 03:55:21.013285,2018-12-05 04:02:17.886734,128,32,0.0005
69,69,TrialState.COMPLETE,374.0,2018-12-05 04:02:17.908683,2018-12-05 04:09:12.503409,128,32,0.0005
70,70,TrialState.COMPLETE,447.0,2018-12-05 04:09:12.525653,2018-12-05 04:17:13.553755,128,32,0.0005
71,71,TrialState.COMPLETE,405.0,2018-12-05 04:17:13.575784,2018-12-05 04:25:42.726498,256,32,0.0005
72,72,TrialState.COMPLETE,440.0,2018-12-05 04:25:42.748837,2018-12-05 04:33:36.786271,128,32,0.0005
73,73,TrialState.COMPLETE,434.0,2018-12-05 04:33:36.808846,2018-12-05 04:42:34.198933,256,32,0.0005
74,74,TrialState.COMPLETE,383.0,2018-12-05 04:42:34.227153,2018-12-05 04:49:06.310265,64,32,0.0005
75,75,TrialState.COMPLETE,431.0,2018-12-05 04:49:06.332067,2018-12-05 04:55:57.989448,32,32,0.0005
76,76,TrialState.COMPLETE,456.0,2018-12-05 04:55:58.011501,2018-12-05 05:05:15.071822,256,32,0.0001
77,77,TrialState.COMPLETE,442.0,2018-12-05 05:05:15.094849,2018-12-05 05:13:09.902789,128,64,5e-05
78,78,TrialState.COMPLETE,390.0,2018-12-05 05:13:09.927591,2018-12-05 05:21:22.917949,256,32,0.0005
79,79,TrialState.COMPLETE,434.0,2018-12-05 05:21:22.943340,2018-12-05 05:29:10.835372,128,32,0.001
80,80,TrialState.COMPLETE,452.0,2018-12-05 05:29:10.859054,2018-12-05 05:36:47.600773,64,32,0.0005
81,81,TrialState.COMPLETE,385.0,2018-12-05 05:36:47.620789,2018-12-05 05:45:19.984155,256,32,0.0005
82,82,TrialState.COMPLETE,433.0,2018-12-05 05:45:20.011886,2018-12-05 05:52:38.383009,32,64,0.0001
83,83,TrialState.COMPLETE,556.0,2018-12-05 05:52:38.405983,2018-12-05 06:02:46.121384,128,32,5e-05
