,scores,average_scores
0,1.0,1.0
1,0.0,0.5
2,2.0,1.0
3,-1.0,0.5
4,0.0,0.4
5,0.0,0.3333333333333333
6,1.0,0.42857142857142855
7,0.0,0.375
8,-1.0,0.2222222222222222
9,-1.0,0.1
10,1.0,0.18181818181818182
11,0.0,0.16666666666666666
12,1.0,0.23076923076923078
13,0.0,0.21428571428571427
14,1.0,0.26666666666666666
15,0.0,0.25
16,0.0,0.23529411764705882
17,0.0,0.2222222222222222
18,-1.0,0.15789473684210525
19,0.0,0.15
20,2.0,0.23809523809523808
21,-2.0,0.13636363636363635
22,0.0,0.13043478260869565
23,1.0,0.16666666666666666
24,0.0,0.16
25,0.0,0.15384615384615385
26,0.0,0.14814814814814814
27,1.0,0.17857142857142858
28,0.0,0.1724137931034483
29,0.0,0.16666666666666666
30,0.0,0.16129032258064516
31,0.0,0.15625
32,-2.0,0.09090909090909091
33,0.0,0.08823529411764706
34,1.0,0.11428571428571428
35,1.0,0.1388888888888889
36,1.0,0.16216216216216217
37,-1.0,0.13157894736842105
38,1.0,0.15384615384615385
39,1.0,0.175
40,0.0,0.17073170731707318
41,0.0,0.16666666666666666
42,0.0,0.16279069767441862
43,-1.0,0.13636363636363635
44,-1.0,0.1111111111111111
45,1.0,0.13043478260869565
46,0.0,0.1276595744680851
47,0.0,0.125
48,0.0,0.12244897959183673
49,0.0,0.12
50,-1.0,0.09803921568627451
51,-1.0,0.07692307692307693
52,-1.0,0.05660377358490566
53,3.0,0.1111111111111111
54,2.0,0.14545454545454545
55,0.0,0.14285714285714285
56,1.0,0.15789473684210525
57,4.0,0.22413793103448276
58,0.0,0.22033898305084745
59,0.0,0.21666666666666667
60,2.0,0.2459016393442623
61,-1.0,0.22580645161290322
62,-2.0,0.19047619047619047
63,0.0,0.1875
64,1.0,0.2
65,1.0,0.21212121212121213
66,0.0,0.208955223880597
67,3.0,0.25
68,0.0,0.2463768115942029
69,0.0,0.24285714285714285
70,1.0,0.2535211267605634
71,0.0,0.25
72,0.0,0.2465753424657534
73,0.0,0.24324324324324326
74,1.0,0.25333333333333335
75,0.0,0.25
76,1.0,0.2597402597402597
77,0.0,0.2564102564102564
78,1.0,0.26582278481012656
79,0.0,0.2625
80,0.0,0.25925925925925924
81,0.0,0.25609756097560976
82,1.0,0.26506024096385544
83,-1.0,0.25
84,1.0,0.25882352941176473
85,0.0,0.2558139534883721
86,0.0,0.25287356321839083
87,0.0,0.25
88,-1.0,0.23595505617977527
89,1.0,0.24444444444444444
90,0.0,0.24175824175824176
91,0.0,0.2391304347826087
92,1.0,0.24731182795698925
93,1.0,0.2553191489361702
94,3.0,0.28421052631578947
95,2.0,0.3020833333333333
96,1.0,0.30927835051546393
97,0.0,0.30612244897959184
98,1.0,0.31313131313131315
99,-1.0,0.3
100,2.0,0.31
101,1.0,0.32
102,0.0,0.3
103,0.0,0.31
104,3.0,0.34
105,2.0,0.36
106,4.0,0.39
107,0.0,0.39
108,1.0,0.41
109,2.0,0.44
110,2.0,0.45
111,2.0,0.47
112,1.0,0.47
113,1.0,0.48
114,0.0,0.47
115,0.0,0.47
116,-1.0,0.46
117,-2.0,0.44
118,2.0,0.47
119,2.0,0.49
120,0.0,0.47
121,0.0,0.49
122,2.0,0.51
123,-1.0,0.49
124,-1.0,0.48
125,-2.0,0.46
126,3.0,0.49
127,4.0,0.52
128,6.0,0.58
129,1.0,0.59
130,-2.0,0.57
131,-2.0,0.55
132,3.0,0.6
133,1.0,0.61
134,0.0,0.6
135,1.0,0.6
136,1.0,0.6
137,5.0,0.66
138,-1.0,0.64
139,6.0,0.69
140,2.0,0.71
141,5.0,0.76
142,1.0,0.77
143,-1.0,0.77
144,3.0,0.81
145,4.0,0.84
146,0.0,0.84
147,1.0,0.85
148,1.0,0.86
149,5.0,0.91
150,5.0,0.97
151,2.0,1.0
152,1.0,1.02
153,4.0,1.03
154,0.0,1.01
155,3.0,1.04
156,5.0,1.08
157,8.0,1.12
158,4.0,1.16
