,scores,average_scores
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,-1.0,-0.25
4,1.0,0.0
5,0.0,0.0
6,0.0,0.0
7,2.0,0.25
8,-1.0,0.1111111111111111
9,3.0,0.4
10,-1.0,0.2727272727272727
11,1.0,0.3333333333333333
12,0.0,0.3076923076923077
13,-2.0,0.14285714285714285
14,-4.0,-0.13333333333333333
15,-2.0,-0.25
16,1.0,-0.17647058823529413
17,0.0,-0.16666666666666666
18,1.0,-0.10526315789473684
19,0.0,-0.1
20,1.0,-0.047619047619047616
21,-1.0,-0.09090909090909091
22,0.0,-0.08695652173913043
23,0.0,-0.08333333333333333
24,0.0,-0.08
25,-1.0,-0.11538461538461539
26,-1.0,-0.14814814814814814
27,0.0,-0.14285714285714285
28,0.0,-0.13793103448275862
29,1.0,-0.1
30,-1.0,-0.12903225806451613
31,0.0,-0.125
32,-2.0,-0.18181818181818182
33,1.0,-0.14705882352941177
34,3.0,-0.05714285714285714
35,2.0,0.0
36,0.0,0.0
37,-2.0,-0.05263157894736842
38,1.0,-0.02564102564102564
39,0.0,-0.025
40,-1.0,-0.04878048780487805
41,2.0,0.0
42,2.0,0.046511627906976744
43,0.0,0.045454545454545456
44,0.0,0.044444444444444446
45,-1.0,0.021739130434782608
46,1.0,0.0425531914893617
47,-4.0,-0.041666666666666664
48,-1.0,-0.061224489795918366
49,2.0,-0.02
50,-2.0,-0.058823529411764705
51,-1.0,-0.07692307692307693
52,0.0,-0.07547169811320754
53,1.0,-0.05555555555555555
54,0.0,-0.05454545454545454
55,0.0,-0.05357142857142857
56,2.0,-0.017543859649122806
57,-1.0,-0.034482758620689655
58,-2.0,-0.06779661016949153
59,0.0,-0.06666666666666667
60,0.0,-0.06557377049180328
61,0.0,-0.06451612903225806
62,0.0,-0.06349206349206349
63,0.0,-0.0625
64,1.0,-0.046153846153846156
65,1.0,-0.030303030303030304
66,-1.0,-0.04477611940298507
67,-3.0,-0.08823529411764706
68,1.0,-0.07246376811594203
69,0.0,-0.07142857142857142
70,0.0,-0.07042253521126761
71,0.0,-0.06944444444444445
72,0.0,-0.0684931506849315
73,0.0,-0.06756756756756757
74,0.0,-0.06666666666666667
75,0.0,-0.06578947368421052
76,1.0,-0.05194805194805195
77,1.0,-0.038461538461538464
78,1.0,-0.02531645569620253
79,0.0,-0.025
80,1.0,-0.012345679012345678
81,1.0,0.0
82,0.0,0.0
83,4.0,0.047619047619047616
84,1.0,0.058823529411764705
85,0.0,0.05813953488372093
86,1.0,0.06896551724137931
87,2.0,0.09090909090909091
88,0.0,0.0898876404494382
89,1.0,0.1
90,1.0,0.10989010989010989
91,1.0,0.11956521739130435
92,-1.0,0.10752688172043011
93,-2.0,0.0851063829787234
94,1.0,0.09473684210526316
95,0.0,0.09375
96,2.0,0.1134020618556701
97,3.0,0.14285714285714285
98,2.0,0.16161616161616163
99,0.0,0.16
100,-1.0,0.15
101,-1.0,0.14
102,1.0,0.15
103,1.0,0.17
104,0.0,0.16
105,1.0,0.17
106,0.0,0.17
107,1.0,0.16
108,-1.0,0.16
109,1.0,0.14
110,1.0,0.16
111,0.0,0.15
112,1.0,0.16
113,1.0,0.19
114,2.0,0.25
115,0.0,0.27
116,-1.0,0.25
117,3.0,0.28
118,2.0,0.29
119,3.0,0.32
120,0.0,0.31
121,0.0,0.32
122,2.0,0.34
123,2.0,0.36
124,2.0,0.38
125,1.0,0.4
126,2.0,0.43
127,1.0,0.44
128,0.0,0.44
129,-1.0,0.42
130,5.0,0.48
131,0.0,0.48
132,3.0,0.53
133,2.0,0.54
134,0.0,0.51
135,-1.0,0.48
136,0.0,0.48
137,1.0,0.51
138,0.0,0.5
139,1.0,0.51
140,3.0,0.55
141,2.0,0.55
142,3.0,0.56
143,1.0,0.57
144,3.0,0.6
145,4.0,0.65
146,1.0,0.65
147,3.0,0.72
148,5.0,0.78
149,1.0,0.77
150,1.0,0.8
151,1.0,0.82
152,1.0,0.83
153,0.0,0.82
154,2.0,0.84
155,1.0,0.85
156,0.0,0.83
157,0.0,0.84
158,3.0,0.89
159,2.0,0.91
160,-1.0,0.9
161,0.0,0.9
162,4.0,0.94
163,0.0,0.94
164,3.0,0.96
165,4.0,0.99
166,0.0,1.0
167,3.0,1.06
168,1.0,1.06
169,2.0,1.08
170,-1.0,1.07
171,1.0,1.08
172,3.0,1.11
173,4.0,1.15
174,2.0,1.17
175,2.0,1.19
176,-1.0,1.17
177,1.0,1.17
178,-1.0,1.15
179,1.0,1.16
180,0.0,1.15
181,4.0,1.18
182,3.0,1.21
183,2.0,1.19
184,2.0,1.2
185,3.0,1.23
186,3.0,1.25
187,2.0,1.25
188,3.0,1.28
189,3.0,1.3
190,4.0,1.33
191,4.0,1.36
192,-1.0,1.36
193,6.0,1.44
194,3.0,1.46
195,1.0,1.47
196,3.0,1.48
197,2.0,1.47
198,1.0,1.46
199,3.0,1.49
200,3.0,1.53
201,3.0,1.57
202,3.0,1.59
203,2.0,1.6
204,6.0,1.66
205,2.0,1.67
206,2.0,1.69
207,1.0,1.69
208,4.0,1.74
209,5.0,1.78
210,1.0,1.78
211,2.0,1.8
212,6.0,1.85
213,2.0,1.86
214,1.0,1.85
215,6.0,1.91
216,4.0,1.96
217,4.0,1.97
218,3.0,1.98
219,7.0,2.02
220,4.0,2.06
221,5.0,2.11
222,5.0,2.14
223,8.0,2.2
224,1.0,2.19
225,8.0,2.26
226,1.0,2.25
227,2.0,2.26
228,0.0,2.26
229,8.0,2.35
230,3.0,2.33
231,8.0,2.41
232,6.0,2.44
233,3.0,2.45
234,7.0,2.52
235,-1.0,2.52
236,6.0,2.58
237,5.0,2.62
238,1.0,2.63
239,8.0,2.7
240,5.0,2.72
241,5.0,2.75
242,3.0,2.75
243,7.0,2.81
244,6.0,2.84
245,4.0,2.84
246,7.0,2.9
247,7.0,2.94
248,5.0,2.94
249,0.0,2.93
250,4.0,2.96
251,6.0,3.01
252,4.0,3.04
253,6.0,3.1
254,1.0,3.09
255,9.0,3.17
256,1.0,3.18
257,6.0,3.24
258,4.0,3.25
259,3.0,3.26
260,8.0,3.35
261,5.0,3.4
262,4.0,3.4
263,10.0,3.5
264,7.0,3.54
265,5.0,3.55
266,8.0,3.63
267,7.0,3.67
268,6.0,3.72
269,6.0,3.76
270,8.0,3.85
271,6.0,3.9
272,7.0,3.94
273,3.0,3.93
274,5.0,3.96
275,4.0,3.98
276,6.0,4.05
277,10.0,4.14
278,7.0,4.22
279,3.0,4.24
280,2.0,4.26
281,1.0,4.23
282,9.0,4.29
283,5.0,4.32
284,7.0,4.37
285,5.0,4.39
286,-1.0,4.35
287,4.0,4.37
288,6.0,4.4
289,10.0,4.47
290,5.0,4.48
291,6.0,4.5
292,7.0,4.58
293,10.0,4.62
294,8.0,4.67
295,7.0,4.73
296,2.0,4.72
297,7.0,4.77
298,4.0,4.8
299,8.0,4.85
300,10.0,4.92
301,8.0,4.97
302,11.0,5.05
303,6.0,5.09
304,8.0,5.11
305,8.0,5.17
306,5.0,5.2
307,3.0,5.22
308,6.0,5.24
309,11.0,5.3
310,8.0,5.37
311,10.0,5.45
312,4.0,5.43
313,9.0,5.5
314,5.0,5.54
315,6.0,5.54
316,3.0,5.53
317,7.0,5.56
318,5.0,5.58
319,10.0,5.61
320,8.0,5.65
321,11.0,5.71
322,3.0,5.69
323,6.0,5.67
324,12.0,5.78
325,8.0,5.78
326,9.0,5.86
327,8.0,5.92
328,13.0,6.05
329,6.0,6.03
330,6.0,6.06
331,12.0,6.1
332,7.0,6.11
333,9.0,6.17
334,16.0,6.26
335,13.0,6.4
336,7.0,6.41
337,2.0,6.38
338,6.0,6.43
339,11.0,6.46
340,5.0,6.46
341,11.0,6.52
342,7.0,6.56
343,5.0,6.54
344,7.0,6.55
345,11.0,6.62
346,14.0,6.69
347,6.0,6.68
348,4.0,6.67
349,10.0,6.77
350,7.0,6.8
351,14.0,6.88
352,8.0,6.92
353,15.0,7.01
354,6.0,7.06
355,10.0,7.07
356,11.0,7.17
357,12.0,7.23
358,14.0,7.33
359,8.0,7.38
360,4.0,7.34
361,12.0,7.41
362,6.0,7.43
363,7.0,7.4
364,12.0,7.45
365,9.0,7.49
366,5.0,7.46
367,11.0,7.5
368,6.0,7.5
369,9.0,7.53
370,3.0,7.48
371,7.0,7.49
372,12.0,7.54
373,6.0,7.57
374,9.0,7.61
375,12.0,7.69
376,10.0,7.73
377,10.0,7.73
378,9.0,7.75
379,4.0,7.76
