,scores,average_scores
0,0.0,0.0
1,-1.0,-0.5
2,0.0,-0.3333333333333333
3,-2.0,-0.75
4,0.0,-0.6
5,-1.0,-0.6666666666666666
6,0.0,-0.5714285714285714
7,0.0,-0.5
8,0.0,-0.4444444444444444
9,0.0,-0.4
10,-1.0,-0.45454545454545453
11,0.0,-0.4166666666666667
12,0.0,-0.38461538461538464
13,0.0,-0.35714285714285715
14,-1.0,-0.4
15,0.0,-0.375
16,-1.0,-0.4117647058823529
17,0.0,-0.3888888888888889
18,0.0,-0.3684210526315789
19,0.0,-0.35
20,0.0,-0.3333333333333333
21,-1.0,-0.36363636363636365
22,-2.0,-0.43478260869565216
23,2.0,-0.3333333333333333
24,1.0,-0.28
25,-1.0,-0.3076923076923077
26,0.0,-0.2962962962962963
27,-2.0,-0.35714285714285715
28,2.0,-0.27586206896551724
29,1.0,-0.23333333333333334
30,0.0,-0.22580645161290322
31,0.0,-0.21875
32,1.0,-0.18181818181818182
33,-1.0,-0.20588235294117646
34,-2.0,-0.2571428571428571
35,-3.0,-0.3333333333333333
36,0.0,-0.32432432432432434
37,0.0,-0.3157894736842105
38,0.0,-0.3076923076923077
39,1.0,-0.275
40,0.0,-0.2682926829268293
41,1.0,-0.23809523809523808
42,-2.0,-0.27906976744186046
43,1.0,-0.25
44,0.0,-0.24444444444444444
45,-1.0,-0.2608695652173913
46,0.0,-0.2553191489361702
47,0.0,-0.25
48,0.0,-0.24489795918367346
49,0.0,-0.24
50,1.0,-0.21568627450980393
51,1.0,-0.19230769230769232
52,0.0,-0.18867924528301888
53,-2.0,-0.2222222222222222
54,0.0,-0.21818181818181817
55,0.0,-0.21428571428571427
56,0.0,-0.21052631578947367
57,-1.0,-0.22413793103448276
58,3.0,-0.1694915254237288
59,1.0,-0.15
60,1.0,-0.13114754098360656
61,-1.0,-0.14516129032258066
62,-1.0,-0.15873015873015872
63,-1.0,-0.171875
64,0.0,-0.16923076923076924
65,-1.0,-0.18181818181818182
66,0.0,-0.1791044776119403
67,-1.0,-0.19117647058823528
68,0.0,-0.18840579710144928
69,1.0,-0.17142857142857143
70,0.0,-0.16901408450704225
71,0.0,-0.16666666666666666
72,3.0,-0.1232876712328767
73,0.0,-0.12162162162162163
74,0.0,-0.12
75,-2.0,-0.14473684210526316
76,0.0,-0.14285714285714285
77,0.0,-0.14102564102564102
78,-5.0,-0.20253164556962025
79,1.0,-0.1875
80,1.0,-0.1728395061728395
81,1.0,-0.15853658536585366
82,1.0,-0.14457831325301204
83,3.0,-0.10714285714285714
84,2.0,-0.08235294117647059
85,0.0,-0.08139534883720931
86,1.0,-0.06896551724137931
87,3.0,-0.03409090909090909
88,1.0,-0.02247191011235955
89,1.0,-0.011111111111111112
90,-1.0,-0.02197802197802198
91,2.0,0.0
92,4.0,0.043010752688172046
93,0.0,0.0425531914893617
94,1.0,0.05263157894736842
95,0.0,0.052083333333333336
96,1.0,0.061855670103092786
97,-1.0,0.05102040816326531
98,-1.0,0.04040404040404041
99,1.0,0.05
100,4.0,0.09
101,5.0,0.15
102,0.0,0.15
103,1.0,0.18
104,1.0,0.19
105,3.0,0.23
106,2.0,0.25
107,1.0,0.26
108,-1.0,0.25
109,4.0,0.29
110,1.0,0.31
111,1.0,0.32
112,5.0,0.37
113,3.0,0.4
114,3.0,0.44
115,3.0,0.47
116,0.0,0.48
117,3.0,0.51
118,3.0,0.54
119,4.0,0.58
120,1.0,0.59
121,4.0,0.64
122,2.0,0.68
123,3.0,0.69
124,5.0,0.73
125,2.0,0.76
126,3.0,0.79
127,3.0,0.84
128,4.0,0.86
129,3.0,0.88
130,3.0,0.91
131,1.0,0.92
132,0.0,0.91
133,2.0,0.94
134,1.0,0.97
135,1.0,1.01
136,1.0,1.02
137,0.0,1.02
138,4.0,1.06
139,4.0,1.09
140,9.0,1.18
141,1.0,1.18
142,5.0,1.25
143,4.0,1.28
144,2.0,1.3
145,-1.0,1.3
146,6.0,1.36
147,3.0,1.39
148,5.0,1.44
149,3.0,1.47
150,0.0,1.46
151,6.0,1.51
152,4.0,1.55
153,3.0,1.6
154,1.0,1.61
155,3.0,1.64
156,2.0,1.66
157,5.0,1.72
158,1.0,1.7
159,3.0,1.72
160,4.0,1.75
161,12.0,1.88
162,3.0,1.92
163,7.0,2.0
164,2.0,2.02
165,4.0,2.07
166,5.0,2.12
167,5.0,2.18
168,4.0,2.22
169,3.0,2.24
170,4.0,2.28
171,6.0,2.34
172,2.0,2.33
173,6.0,2.39
174,5.0,2.44
175,5.0,2.51
176,6.0,2.57
177,6.0,2.63
178,1.0,2.69
179,6.0,2.74
180,5.0,2.78
181,9.0,2.86
182,5.0,2.9
183,8.0,2.95
184,10.0,3.03
185,5.0,3.08
186,5.0,3.12
187,4.0,3.13
188,1.0,3.13
189,9.0,3.21
190,6.0,3.28
191,3.0,3.29
192,7.0,3.32
193,6.0,3.38
194,5.0,3.42
195,6.0,3.48
196,8.0,3.55
197,10.0,3.66
198,4.0,3.71
199,4.0,3.74
200,5.0,3.75
201,2.0,3.72
202,8.0,3.8
203,1.0,3.8
204,5.0,3.84
205,10.0,3.91
206,7.0,3.96
207,0.0,3.95
208,0.0,3.96
209,12.0,4.04
210,5.0,4.08
211,9.0,4.16
212,6.0,4.17
213,7.0,4.21
214,5.0,4.23
215,4.0,4.24
216,3.0,4.27
217,9.0,4.33
218,2.0,4.32
219,5.0,4.33
220,7.0,4.39
221,8.0,4.43
222,11.0,4.52
223,8.0,4.57
224,4.0,4.56
225,10.0,4.64
226,9.0,4.7
227,5.0,4.72
228,10.0,4.78
229,10.0,4.85
230,9.0,4.91
231,5.0,4.95
232,9.0,5.04
233,8.0,5.1
234,11.0,5.2
235,0.0,5.19
236,8.0,5.26
237,10.0,5.36
238,5.0,5.37
239,5.0,5.38
240,5.0,5.34
241,6.0,5.39
242,8.0,5.42
243,13.0,5.51
244,12.0,5.61
245,10.0,5.72
246,1.0,5.67
247,5.0,5.69
248,8.0,5.72
249,11.0,5.8
250,3.0,5.83
251,10.0,5.87
252,10.0,5.93
253,5.0,5.95
254,9.0,6.03
255,12.0,6.12
256,3.0,6.13
257,3.0,6.11
258,12.0,6.22
259,1.0,6.2
260,8.0,6.24
261,6.0,6.18
262,12.0,6.27
263,5.0,6.25
264,1.0,6.24
265,7.0,6.27
266,12.0,6.34
267,8.0,6.37
268,7.0,6.4
269,6.0,6.43
270,9.0,6.48
271,2.0,6.44
272,4.0,6.46
273,11.0,6.51
274,6.0,6.52
275,9.0,6.56
276,11.0,6.61
277,9.0,6.64
278,10.0,6.73
279,4.0,6.71
280,10.0,6.76
281,7.0,6.74
282,3.0,6.72
283,9.0,6.73
284,8.0,6.71
285,12.0,6.78
286,8.0,6.81
287,10.0,6.87
288,11.0,6.97
289,7.0,6.95
290,7.0,6.96
291,16.0,7.09
292,13.0,7.15
293,10.0,7.19
294,10.0,7.24
295,14.0,7.32
296,11.0,7.35
297,9.0,7.34
298,11.0,7.41
299,6.0,7.43
300,8.0,7.46
301,12.0,7.56
302,12.0,7.6
303,7.0,7.66
304,6.0,7.67
305,10.0,7.67
306,7.0,7.67
307,13.0,7.8
308,6.0,7.86
309,10.0,7.84
310,14.0,7.93
311,11.0,7.95
312,6.0,7.95
313,10.0,7.98
314,9.0,8.02
315,4.0,8.02
316,10.0,8.09
317,14.0,8.14
318,13.0,8.25
319,12.0,8.32
320,3.0,8.28
321,12.0,8.32
322,4.0,8.25
323,9.0,8.26
324,6.0,8.28
325,10.0,8.28
326,9.0,8.28
327,3.0,8.26
328,13.0,8.29
329,0.0,8.19
330,9.0,8.19
331,8.0,8.22
332,13.0,8.26
333,12.0,8.3
334,13.0,8.32
335,11.0,8.43
336,13.0,8.48
337,12.0,8.5
338,14.0,8.59
339,13.0,8.67
340,2.0,8.64
341,12.0,8.7
342,11.0,8.73
343,13.0,8.73
344,11.0,8.72
345,19.0,8.81
346,11.0,8.91
347,10.0,8.96
348,15.0,9.03
349,16.0,9.08
350,9.0,9.14
351,9.0,9.13
352,11.0,9.14
353,5.0,9.14
354,12.0,9.17
355,12.0,9.17
356,11.0,9.25
357,12.0,9.34
358,7.0,9.29
359,7.0,9.35
360,0.0,9.27
361,11.0,9.32
362,15.0,9.35
363,8.0,9.38
364,7.0,9.44
365,3.0,9.4
366,8.0,9.36
367,15.0,9.43
368,15.0,9.51
369,11.0,9.56
370,11.0,9.58
371,9.0,9.65
372,2.0,9.63
373,12.0,9.64
374,6.0,9.64
375,8.0,9.63
376,3.0,9.55
377,9.0,9.55
378,8.0,9.53
379,15.0,9.64
380,8.0,9.62
381,7.0,9.62
382,14.0,9.73
383,9.0,9.73
384,6.0,9.71
385,3.0,9.62
386,9.0,9.63
387,9.0,9.62
388,12.0,9.63
389,8.0,9.64
390,10.0,9.67
391,0.0,9.51
392,8.0,9.46
393,9.0,9.45
394,10.0,9.45
395,11.0,9.42
396,7.0,9.38
397,13.0,9.42
398,15.0,9.46
399,7.0,9.47
400,12.0,9.51
401,14.0,9.53
402,14.0,9.55
403,8.0,9.56
404,8.0,9.58
405,13.0,9.61
406,14.0,9.68
407,11.0,9.66
408,9.0,9.69
409,16.0,9.75
410,9.0,9.7
411,13.0,9.72
412,8.0,9.74
413,9.0,9.73
414,9.0,9.73
415,8.0,9.77
416,5.0,9.72
417,13.0,9.71
418,9.0,9.67
419,13.0,9.68
420,12.0,9.77
421,4.0,9.69
422,10.0,9.75
423,13.0,9.79
424,17.0,9.9
425,11.0,9.91
426,15.0,9.97
427,14.0,10.08
428,5.0,10.0
429,11.0,10.11
430,10.0,10.12
431,13.0,10.17
432,13.0,10.17
433,14.0,10.19
434,11.0,10.17
435,14.0,10.2
436,11.0,10.18
437,10.0,10.16
438,18.0,10.2
439,12.0,10.19
440,14.0,10.31
441,4.0,10.23
442,17.0,10.29
443,14.0,10.3
444,12.0,10.31
445,9.0,10.21
446,14.0,10.24
447,15.0,10.29
448,5.0,10.19
449,12.0,10.15
450,15.0,10.21
451,12.0,10.24
452,14.0,10.27
453,10.0,10.32
454,18.0,10.38
455,10.0,10.36
456,10.0,10.35
457,13.0,10.36
458,11.0,10.4
459,12.0,10.45
460,9.0,10.54
461,10.0,10.53
462,12.0,10.5
463,13.0,10.55
464,9.0,10.57
465,12.0,10.66
466,11.0,10.69
467,12.0,10.66
468,9.0,10.6
469,12.0,10.61
470,9.0,10.59
471,10.0,10.6
472,17.0,10.75
473,14.0,10.77
474,14.0,10.85
475,12.0,10.89
476,14.0,11.0
477,9.0,11.0
478,1.0,10.93
479,12.0,10.9
480,11.0,10.93
481,12.0,10.98
482,13.0,10.97
483,8.0,10.96
484,8.0,10.98
485,13.0,11.08
486,11.0,11.1
487,12.0,11.13
488,5.0,11.06
489,8.0,11.06
490,15.0,11.11
491,13.0,11.24
492,12.0,11.28
493,10.0,11.29
494,14.0,11.33
495,6.0,11.28
496,6.0,11.27
497,15.0,11.29
498,10.0,11.24
499,12.0,11.29
500,8.0,11.25
501,18.0,11.29
502,4.0,11.19
503,15.0,11.26
504,21.0,11.39
505,13.0,11.39
506,14.0,11.39
507,8.0,11.36
508,19.0,11.46
509,11.0,11.41
510,12.0,11.44
511,13.0,11.44
512,13.0,11.49
513,9.0,11.49
514,15.0,11.55
515,10.0,11.57
516,18.0,11.7
517,17.0,11.74
518,13.0,11.78
519,13.0,11.78
520,11.0,11.77
521,8.0,11.81
522,14.0,11.85
523,16.0,11.88
524,12.0,11.83
525,17.0,11.89
526,12.0,11.86
527,11.0,11.83
528,6.0,11.84
529,12.0,11.85
530,8.0,11.83
531,15.0,11.85
532,6.0,11.78
533,15.0,11.79
534,12.0,11.8
535,10.0,11.76
536,13.0,11.78
537,15.0,11.83
538,7.0,11.72
539,7.0,11.67
540,15.0,11.68
541,12.0,11.76
542,9.0,11.68
543,12.0,11.66
544,13.0,11.67
545,12.0,11.7
546,4.0,11.6
547,9.0,11.54
548,17.0,11.66
549,16.0,11.7
550,13.0,11.68
551,12.0,11.68
552,12.0,11.66
553,14.0,11.7
554,15.0,11.67
555,16.0,11.73
556,13.0,11.76
557,14.0,11.77
558,16.0,11.82
559,13.0,11.83
560,11.0,11.85
561,10.0,11.85
562,14.0,11.87
563,20.0,11.94
564,13.0,11.98
565,15.0,12.01
566,15.0,12.05
567,12.0,12.05
568,16.0,12.12
569,11.0,12.11
570,10.0,12.12
571,14.0,12.16
572,16.0,12.15
573,15.0,12.16
574,8.0,12.1
575,13.0,12.11
576,12.0,12.09
577,11.0,12.11
578,15.0,12.25
579,15.0,12.28
580,17.0,12.34
581,13.0,12.35
582,7.0,12.29
583,12.0,12.33
584,13.0,12.38
585,13.0,12.38
586,14.0,12.41
587,14.0,12.43
588,5.0,12.43
589,15.0,12.5
590,13.0,12.48
591,11.0,12.46
592,14.0,12.48
593,16.0,12.54
594,13.0,12.53
595,15.0,12.62
596,5.0,12.61
597,12.0,12.58
598,14.0,12.62
599,10.0,12.6
600,19.0,12.71
601,19.0,12.72
602,13.0,12.81
603,14.0,12.8
604,14.0,12.73
605,14.0,12.74
606,10.0,12.7
607,17.0,12.79
608,16.0,12.76
609,20.0,12.85
610,14.0,12.87
611,12.0,12.86
612,15.0,12.88
613,14.0,12.93
614,13.0,12.91
615,18.0,12.99
616,19.0,13.0
