,scores,average_scores
0,0.0,0.0
1,0.0,0.0
2,-1.0,-0.3333333333333333
3,0.0,-0.25
4,1.0,0.0
5,1.0,0.16666666666666666
6,-1.0,0.0
7,1.0,0.125
8,0.0,0.1111111111111111
9,0.0,0.1
10,0.0,0.09090909090909091
11,0.0,0.08333333333333333
12,0.0,0.07692307692307693
13,2.0,0.21428571428571427
14,-2.0,0.06666666666666667
15,0.0,0.0625
16,0.0,0.058823529411764705
17,1.0,0.1111111111111111
18,0.0,0.10526315789473684
19,-1.0,0.05
20,0.0,0.047619047619047616
21,1.0,0.09090909090909091
22,2.0,0.17391304347826086
23,0.0,0.16666666666666666
24,1.0,0.2
25,-1.0,0.15384615384615385
26,0.0,0.14814814814814814
27,0.0,0.14285714285714285
28,0.0,0.13793103448275862
29,1.0,0.16666666666666666
30,0.0,0.16129032258064516
31,1.0,0.1875
32,-1.0,0.15151515151515152
33,-2.0,0.08823529411764706
34,-1.0,0.05714285714285714
35,-1.0,0.027777777777777776
36,0.0,0.02702702702702703
37,1.0,0.05263157894736842
38,0.0,0.05128205128205128
39,1.0,0.075
40,0.0,0.07317073170731707
41,0.0,0.07142857142857142
42,1.0,0.09302325581395349
43,0.0,0.09090909090909091
44,0.0,0.08888888888888889
45,0.0,0.08695652173913043
46,-1.0,0.06382978723404255
47,1.0,0.08333333333333333
48,0.0,0.08163265306122448
49,-2.0,0.04
50,1.0,0.058823529411764705
51,1.0,0.07692307692307693
52,-1.0,0.05660377358490566
53,0.0,0.05555555555555555
54,0.0,0.05454545454545454
55,-2.0,0.017857142857142856
56,-2.0,-0.017543859649122806
57,-1.0,-0.034482758620689655
58,-2.0,-0.06779661016949153
59,0.0,-0.06666666666666667
60,2.0,-0.03278688524590164
61,0.0,-0.03225806451612903
62,0.0,-0.031746031746031744
63,2.0,0.0
64,-1.0,-0.015384615384615385
65,4.0,0.045454545454545456
66,-3.0,0.0
67,0.0,0.0
68,-2.0,-0.028985507246376812
69,0.0,-0.02857142857142857
70,-2.0,-0.056338028169014086
71,1.0,-0.041666666666666664
72,2.0,-0.0136986301369863
73,0.0,-0.013513513513513514
74,2.0,0.013333333333333334
75,0.0,0.013157894736842105
76,0.0,0.012987012987012988
77,0.0,0.01282051282051282
78,1.0,0.02531645569620253
79,1.0,0.0375
80,1.0,0.04938271604938271
81,1.0,0.06097560975609756
82,2.0,0.08433734939759036
83,0.0,0.08333333333333333
84,-1.0,0.07058823529411765
85,1.0,0.08139534883720931
86,1.0,0.09195402298850575
87,1.0,0.10227272727272728
88,0.0,0.10112359550561797
89,-1.0,0.08888888888888889
90,1.0,0.0989010989010989
91,1.0,0.10869565217391304
92,1.0,0.11827956989247312
93,3.0,0.14893617021276595
94,2.0,0.16842105263157894
95,2.0,0.1875
96,2.0,0.20618556701030927
97,1.0,0.21428571428571427
98,2.0,0.23232323232323232
99,1.0,0.24
100,2.0,0.26
101,-1.0,0.25
102,1.0,0.27
103,3.0,0.3
104,6.0,0.35
105,3.0,0.37
106,-1.0,0.37
107,4.0,0.4
108,3.0,0.43
109,3.0,0.46
110,3.0,0.49
111,0.0,0.49
112,2.0,0.51
113,3.0,0.52
114,3.0,0.57
115,2.0,0.59
116,1.0,0.6
117,5.0,0.64
118,4.0,0.68
119,3.0,0.72
120,3.0,0.75
121,0.0,0.74
122,4.0,0.76
123,5.0,0.81
124,2.0,0.82
125,0.0,0.83
126,2.0,0.85
127,2.0,0.87
128,3.0,0.9
129,4.0,0.93
130,-1.0,0.92
131,6.0,0.97
132,2.0,1.0
133,1.0,1.03
134,4.0,1.08
135,2.0,1.11
136,6.0,1.17
137,2.0,1.18
138,0.0,1.18
139,4.0,1.21
140,3.0,1.24
141,3.0,1.27
142,3.0,1.29
143,3.0,1.32
144,0.0,1.32
145,3.0,1.35
146,1.0,1.37
147,1.0,1.37
148,2.0,1.39
149,7.0,1.48
150,2.0,1.49
151,4.0,1.52
152,7.0,1.6
153,-1.0,1.59
154,0.0,1.59
155,3.0,1.64
156,3.0,1.69
157,1.0,1.71
158,5.0,1.78
159,9.0,1.87
160,8.0,1.93
161,4.0,1.97
162,5.0,2.02
163,3.0,2.03
164,0.0,2.04
165,9.0,2.09
166,1.0,2.13
167,5.0,2.18
168,4.0,2.24
169,1.0,2.25
170,4.0,2.31
171,0.0,2.3
172,6.0,2.34
173,2.0,2.36
174,10.0,2.44
175,2.0,2.46
176,4.0,2.5
177,6.0,2.56
178,1.0,2.56
179,4.0,2.59
180,5.0,2.63
181,2.0,2.64
182,3.0,2.65
183,5.0,2.7
184,3.0,2.74
185,4.0,2.77
186,2.0,2.78
187,3.0,2.8
188,5.0,2.85
189,6.0,2.92
190,9.0,3.0
191,6.0,3.05
192,2.0,3.06
193,5.0,3.08
194,4.0,3.1
195,2.0,3.1
196,7.0,3.15
197,6.0,3.2
198,4.0,3.22
199,5.0,3.26
200,6.0,3.3
201,9.0,3.4
202,6.0,3.45
203,8.0,3.5
204,7.0,3.51
205,3.0,3.51
206,0.0,3.52
207,8.0,3.56
208,9.0,3.62
209,7.0,3.66
210,7.0,3.7
211,7.0,3.77
212,6.0,3.81
213,6.0,3.84
214,10.0,3.91
215,1.0,3.9
216,3.0,3.92
217,5.0,3.92
218,6.0,3.94
219,3.0,3.94
220,7.0,3.98
221,6.0,4.04
222,3.0,4.03
223,5.0,4.03
224,4.0,4.05
225,7.0,4.12
226,9.0,4.19
227,3.0,4.2
228,12.0,4.29
229,6.0,4.31
230,9.0,4.41
231,6.0,4.41
232,5.0,4.44
233,10.0,4.53
234,5.0,4.54
235,6.0,4.58
236,6.0,4.58
237,11.0,4.67
238,12.0,4.79
239,11.0,4.86
240,7.0,4.9
241,9.0,4.96
242,9.0,5.02
243,5.0,5.04
244,8.0,5.12
245,11.0,5.2
246,6.0,5.25
247,11.0,5.35
248,5.0,5.38
249,7.0,5.38
250,17.0,5.53
251,2.0,5.51
252,9.0,5.53
253,9.0,5.63
254,12.0,5.75
255,15.0,5.87
256,8.0,5.92
257,8.0,5.99
258,6.0,6.0
259,9.0,6.0
260,6.0,5.98
261,9.0,6.03
262,7.0,6.05
263,11.0,6.13
264,7.0,6.2
265,10.0,6.21
266,13.0,6.33
267,6.0,6.34
268,4.0,6.34
269,0.0,6.33
270,9.0,6.38
271,6.0,6.44
272,1.0,6.39
273,3.0,6.4
274,4.0,6.34
275,5.0,6.37
276,10.0,6.43
277,9.0,6.46
278,8.0,6.53
279,8.0,6.57
280,12.0,6.64
281,1.0,6.63
282,10.0,6.7
283,11.0,6.76
284,9.0,6.82
285,10.0,6.88
286,1.0,6.87
287,7.0,6.91
288,1.0,6.87
289,12.0,6.93
290,5.0,6.89
291,3.0,6.86
292,3.0,6.87
293,9.0,6.91
294,9.0,6.96
295,10.0,7.04
296,5.0,7.02
297,8.0,7.04
298,11.0,7.11
299,2.0,7.08
300,6.0,7.08
301,6.0,7.05
302,10.0,7.09
303,2.0,7.03
304,10.0,7.06
305,10.0,7.13
306,5.0,7.18
307,5.0,7.15
308,5.0,7.11
309,1.0,7.05
310,5.0,7.03
311,12.0,7.08
312,4.0,7.06
313,5.0,7.05
314,15.0,7.1
315,5.0,7.14
316,2.0,7.13
317,0.0,7.08
318,10.0,7.12
319,0.0,7.09
320,2.0,7.04
321,12.0,7.1
322,8.0,7.15
323,8.0,7.18
324,11.0,7.25
325,11.0,7.29
326,11.0,7.31
327,7.0,7.35
328,7.0,7.3
329,10.0,7.34
330,6.0,7.31
331,8.0,7.33
332,6.0,7.34
333,8.0,7.32
334,19.0,7.46
335,11.0,7.51
336,10.0,7.55
337,6.0,7.5
338,11.0,7.49
339,8.0,7.46
340,5.0,7.44
341,12.0,7.47
342,7.0,7.45
343,12.0,7.52
344,6.0,7.5
345,9.0,7.48
346,7.0,7.49
347,8.0,7.46
348,7.0,7.48
349,12.0,7.53
350,1.0,7.37
351,17.0,7.52
352,2.0,7.45
353,4.0,7.4
354,9.0,7.37
355,15.0,7.37
356,2.0,7.31
357,8.0,7.31
358,9.0,7.34
359,2.0,7.27
360,4.0,7.25
361,8.0,7.24
362,8.0,7.25
363,0.0,7.14
364,10.0,7.17
365,5.0,7.12
366,2.0,7.01
367,8.0,7.03
368,11.0,7.1
369,10.0,7.2
370,6.0,7.17
371,13.0,7.24
372,10.0,7.33
373,13.0,7.43
374,12.0,7.51
375,8.0,7.54
376,13.0,7.57
377,10.0,7.58
378,-2.0,7.48
379,7.0,7.47
380,7.0,7.42
