,trial_id,state,value,datetime_start,datetime_complete,params,params,params
,,,,,,buffer_size,learning_rate,update_every
50,50,TrialState.COMPLETE,375.0,2018-12-05 19:46:43.161566,2018-12-05 19:57:54.504500,50000,0.0001,2
51,51,TrialState.COMPLETE,319.0,2018-12-05 19:57:54.516887,2018-12-05 20:07:44.835333,50000,0.0001,2
52,52,TrialState.COMPLETE,438.0,2018-12-05 20:07:44.847783,2018-12-05 20:20:25.457827,50000,0.0001,2
53,53,TrialState.COMPLETE,399.0,2018-12-05 20:20:25.474514,2018-12-05 20:32:10.587975,50000,0.0001,2
54,54,TrialState.COMPLETE,454.0,2018-12-05 20:32:10.600604,2018-12-05 20:45:14.285824,50000,0.0001,2
55,55,TrialState.COMPLETE,404.0,2018-12-05 20:45:14.302603,2018-12-05 20:57:08.152925,50000,0.0001,2
56,56,TrialState.COMPLETE,369.0,2018-12-05 20:57:08.177928,2018-12-05 21:08:10.939746,50000,0.0001,2
57,57,TrialState.COMPLETE,379.0,2018-12-05 21:08:10.952799,2018-12-05 21:19:28.378566,50000,0.0001,2
58,58,TrialState.COMPLETE,381.0,2018-12-05 21:19:28.391527,2018-12-05 21:30:49.342803,50000,0.0001,2
59,59,TrialState.COMPLETE,475.0,2018-12-05 21:30:49.356389,2018-12-05 21:44:22.014788,50000,0.001,2
60,60,TrialState.COMPLETE,412.0,2018-12-05 21:44:22.031870,2018-12-05 21:56:38.362693,100000,0.0005,2
61,61,TrialState.COMPLETE,385.0,2018-12-05 21:56:38.384791,2018-12-05 22:08:05.567737,50000,0.0001,2
62,62,TrialState.COMPLETE,399.0,2018-12-05 22:08:05.581462,2018-12-05 22:19:51.657160,50000,0.0001,2
63,63,TrialState.COMPLETE,440.0,2018-12-05 22:19:51.671499,2018-12-05 22:32:52.411412,100000,0.001,2
64,64,TrialState.COMPLETE,482.0,2018-12-05 22:32:52.434659,2018-12-05 22:46:36.038405,50000,0.0005,2
65,65,TrialState.COMPLETE,433.0,2018-12-05 22:46:36.061393,2018-12-05 22:59:12.949654,50000,0.0001,2
66,66,TrialState.COMPLETE,408.0,2018-12-05 22:59:12.964608,2018-12-05 23:11:11.517856,50000,0.0001,2
67,67,TrialState.COMPLETE,364.0,2018-12-05 23:11:11.544973,2018-12-05 23:22:13.648530,50000,0.0001,2
68,68,TrialState.COMPLETE,328.0,2018-12-05 23:22:13.663518,2018-12-05 23:32:22.336308,50000,0.0001,2
69,69,TrialState.COMPLETE,391.0,2018-12-05 23:32:22.351258,2018-12-05 23:44:00.074295,50000,0.0001,2
70,70,TrialState.COMPLETE,398.0,2018-12-05 23:44:00.090828,2018-12-05 23:55:44.123514,50000,0.0001,2
71,71,TrialState.COMPLETE,379.0,2018-12-05 23:55:44.140297,2018-12-06 00:07:01.905167,50000,0.0001,2
