,scores,average_scores
0,-1.0,-1.0
1,0.0,-0.5
2,0.0,-0.3333333333333333
3,-1.0,-0.5
4,0.0,-0.4
5,1.0,-0.16666666666666666
6,-1.0,-0.2857142857142857
7,0.0,-0.25
8,0.0,-0.2222222222222222
9,0.0,-0.2
10,0.0,-0.18181818181818182
11,1.0,-0.08333333333333333
12,0.0,-0.07692307692307693
13,-1.0,-0.14285714285714285
14,0.0,-0.13333333333333333
15,-2.0,-0.25
16,1.0,-0.17647058823529413
17,1.0,-0.1111111111111111
18,0.0,-0.10526315789473684
19,0.0,-0.1
20,-1.0,-0.14285714285714285
21,-2.0,-0.22727272727272727
22,2.0,-0.13043478260869565
23,1.0,-0.08333333333333333
24,-1.0,-0.12
25,1.0,-0.07692307692307693
26,0.0,-0.07407407407407407
27,-1.0,-0.10714285714285714
28,2.0,-0.034482758620689655
29,1.0,0.0
30,-1.0,-0.03225806451612903
31,-4.0,-0.15625
32,1.0,-0.12121212121212122
33,1.0,-0.08823529411764706
34,-1.0,-0.11428571428571428
35,0.0,-0.1111111111111111
36,-1.0,-0.13513513513513514
37,0.0,-0.13157894736842105
38,2.0,-0.07692307692307693
39,0.0,-0.075
40,0.0,-0.07317073170731707
41,0.0,-0.07142857142857142
42,1.0,-0.046511627906976744
43,0.0,-0.045454545454545456
44,2.0,0.0
45,-2.0,-0.043478260869565216
46,-2.0,-0.0851063829787234
47,-2.0,-0.125
48,0.0,-0.12244897959183673
49,0.0,-0.12
50,0.0,-0.11764705882352941
51,2.0,-0.07692307692307693
52,0.0,-0.07547169811320754
53,0.0,-0.07407407407407407
54,0.0,-0.07272727272727272
55,1.0,-0.05357142857142857
56,2.0,-0.017543859649122806
57,-1.0,-0.034482758620689655
58,2.0,0.0
59,2.0,0.03333333333333333
60,0.0,0.03278688524590164
61,1.0,0.04838709677419355
62,2.0,0.07936507936507936
63,1.0,0.09375
64,-2.0,0.06153846153846154
65,3.0,0.10606060606060606
66,-1.0,0.08955223880597014
67,1.0,0.10294117647058823
68,0.0,0.10144927536231885
69,0.0,0.1
70,4.0,0.15492957746478872
71,-1.0,0.1388888888888889
72,-1.0,0.1232876712328767
73,-1.0,0.10810810810810811
74,3.0,0.14666666666666667
75,3.0,0.18421052631578946
76,-2.0,0.15584415584415584
77,2.0,0.1794871794871795
78,4.0,0.22784810126582278
79,1.0,0.2375
80,1.0,0.24691358024691357
81,2.0,0.2682926829268293
82,1.0,0.27710843373493976
83,0.0,0.27380952380952384
84,2.0,0.29411764705882354
85,3.0,0.32558139534883723
86,2.0,0.3448275862068966
87,2.0,0.36363636363636365
88,-4.0,0.3146067415730337
89,2.0,0.3333333333333333
90,1.0,0.34065934065934067
91,5.0,0.391304347826087
92,1.0,0.3978494623655914
93,4.0,0.43617021276595747
94,0.0,0.43157894736842106
95,2.0,0.4479166666666667
96,-3.0,0.41237113402061853
97,0.0,0.40816326530612246
98,0.0,0.40404040404040403
99,3.0,0.43
100,3.0,0.47
101,-2.0,0.45
102,2.0,0.47
103,1.0,0.49
104,0.0,0.49
105,4.0,0.52
106,1.0,0.54
107,4.0,0.58
108,0.0,0.58
109,2.0,0.6
110,4.0,0.64
111,2.0,0.65
112,2.0,0.67
113,3.0,0.71
114,2.0,0.73
115,6.0,0.81
116,-1.0,0.79
117,3.0,0.81
118,6.0,0.87
119,4.0,0.91
120,6.0,0.98
121,7.0,1.07
122,3.0,1.08
123,4.0,1.11
124,4.0,1.16
125,0.0,1.15
126,-1.0,1.14
127,4.0,1.19
128,5.0,1.22
129,7.0,1.28
130,0.0,1.29
131,5.0,1.38
132,6.0,1.43
133,3.0,1.45
134,-1.0,1.45
135,6.0,1.51
136,1.0,1.53
137,7.0,1.6
138,6.0,1.64
139,2.0,1.66
140,6.0,1.72
141,5.0,1.77
142,3.0,1.79
143,1.0,1.8
144,5.0,1.83
145,4.0,1.89
146,1.0,1.92
147,1.0,1.95
148,6.0,2.01
149,5.0,2.06
150,1.0,2.07
151,-1.0,2.04
