,scores,average_scores
0,0.0,0.0
1,-1.0,-0.5
2,0.0,-0.3333333333333333
3,-1.0,-0.5
4,1.0,-0.2
5,-1.0,-0.3333333333333333
6,2.0,0.0
7,-1.0,-0.125
8,1.0,0.0
9,3.0,0.3
10,-4.0,-0.09090909090909091
11,0.0,-0.08333333333333333
12,2.0,0.07692307692307693
13,-1.0,0.0
14,0.0,0.0
15,-1.0,-0.0625
16,-1.0,-0.11764705882352941
17,-1.0,-0.16666666666666666
18,0.0,-0.15789473684210525
19,0.0,-0.15
20,0.0,-0.14285714285714285
21,1.0,-0.09090909090909091
22,-1.0,-0.13043478260869565
23,-1.0,-0.16666666666666666
24,1.0,-0.12
25,-1.0,-0.15384615384615385
26,1.0,-0.1111111111111111
27,0.0,-0.10714285714285714
28,1.0,-0.06896551724137931
29,-1.0,-0.1
30,1.0,-0.06451612903225806
31,1.0,-0.03125
32,0.0,-0.030303030303030304
33,1.0,0.0
34,1.0,0.02857142857142857
35,0.0,0.027777777777777776
36,0.0,0.02702702702702703
37,1.0,0.05263157894736842
38,1.0,0.07692307692307693
39,2.0,0.125
40,-1.0,0.0975609756097561
41,-2.0,0.047619047619047616
42,0.0,0.046511627906976744
43,-1.0,0.022727272727272728
44,1.0,0.044444444444444446
45,0.0,0.043478260869565216
46,2.0,0.0851063829787234
47,2.0,0.125
48,-1.0,0.10204081632653061
49,1.0,0.12
50,0.0,0.11764705882352941
51,1.0,0.1346153846153846
52,2.0,0.16981132075471697
53,1.0,0.18518518518518517
54,1.0,0.2
55,4.0,0.26785714285714285
56,0.0,0.2631578947368421
57,0.0,0.25862068965517243
58,4.0,0.3220338983050847
59,2.0,0.35
60,0.0,0.3442622950819672
61,0.0,0.3387096774193548
62,1.0,0.3492063492063492
63,1.0,0.359375
64,2.0,0.38461538461538464
65,2.0,0.4090909090909091
66,0.0,0.40298507462686567
67,0.0,0.39705882352941174
68,2.0,0.42028985507246375
69,1.0,0.42857142857142855
70,3.0,0.4647887323943662
71,-1.0,0.4444444444444444
72,2.0,0.4657534246575342
73,1.0,0.47297297297297297
74,0.0,0.4666666666666667
75,0.0,0.4605263157894737
76,0.0,0.45454545454545453
77,2.0,0.47435897435897434
78,1.0,0.4810126582278481
79,2.0,0.5
80,2.0,0.5185185185185185
81,-2.0,0.4878048780487805
82,5.0,0.5421686746987951
83,2.0,0.5595238095238095
84,-1.0,0.5411764705882353
85,0.0,0.5348837209302325
86,2.0,0.5517241379310345
87,1.0,0.5568181818181818
88,4.0,0.5955056179775281
89,-2.0,0.5666666666666667
90,-1.0,0.5494505494505495
91,4.0,0.5869565217391305
92,3.0,0.6129032258064516
93,-3.0,0.574468085106383
94,0.0,0.5684210526315789
95,0.0,0.5625
96,0.0,0.5567010309278351
97,3.0,0.5816326530612245
98,-2.0,0.5555555555555556
99,1.0,0.56
100,2.0,0.58
101,2.0,0.61
102,0.0,0.61
103,4.0,0.66
104,0.0,0.65
105,4.0,0.7
106,1.0,0.69
107,1.0,0.71
108,0.0,0.7
109,1.0,0.68
110,1.0,0.73
111,2.0,0.75
112,2.0,0.75
113,3.0,0.79
114,4.0,0.83
115,5.0,0.89
116,2.0,0.92
117,2.0,0.95
118,1.0,0.96
119,4.0,1.0
120,4.0,1.04
121,0.0,1.03
122,6.0,1.1
123,0.0,1.11
124,1.0,1.11
125,4.0,1.16
126,6.0,1.21
127,4.0,1.25
128,0.0,1.24
129,2.0,1.27
130,3.0,1.29
131,1.0,1.29
132,4.0,1.33
133,2.0,1.34
134,3.0,1.36
135,5.0,1.41
136,2.0,1.43
137,3.0,1.45
138,1.0,1.45
139,3.0,1.46
140,2.0,1.49
141,5.0,1.56
142,2.0,1.58
143,7.0,1.66
144,7.0,1.72
145,6.0,1.78
146,6.0,1.82
147,4.0,1.84
148,4.0,1.89
149,4.0,1.92
150,4.0,1.96
151,3.0,1.98
152,7.0,2.03
153,7.0,2.09
154,5.0,2.13
155,3.0,2.12
156,3.0,2.15
157,1.0,2.16
158,6.0,2.18
159,6.0,2.22
160,5.0,2.27
161,3.0,2.3
162,1.0,2.3
163,4.0,2.33
164,5.0,2.36
165,5.0,2.39
166,6.0,2.45
167,5.0,2.5
168,2.0,2.5
169,5.0,2.54
170,6.0,2.57
171,0.0,2.58
172,5.0,2.61
173,7.0,2.67
174,2.0,2.69
175,7.0,2.76
176,9.0,2.85
177,3.0,2.86
178,1.0,2.86
179,5.0,2.89
180,9.0,2.96
181,1.0,2.99
182,5.0,2.99
183,6.0,3.03
184,5.0,3.09
185,6.0,3.15
186,3.0,3.16
187,6.0,3.21
188,5.0,3.22
189,2.0,3.26
190,7.0,3.34
191,6.0,3.36
192,5.0,3.38
193,2.0,3.43
194,5.0,3.48
195,6.0,3.54
196,3.0,3.57
197,8.0,3.62
198,5.0,3.69
199,5.0,3.73
200,6.0,3.77
201,4.0,3.79
202,5.0,3.84
203,7.0,3.87
204,6.0,3.93
205,3.0,3.92
206,8.0,3.99
207,8.0,4.06
208,7.0,4.13
209,4.0,4.16
210,5.0,4.2
211,7.0,4.25
212,6.0,4.29
213,8.0,4.34
214,4.0,4.34
215,6.0,4.35
216,4.0,4.37
217,14.0,4.49
218,7.0,4.55
219,5.0,4.56
220,6.0,4.58
221,5.0,4.63
222,6.0,4.63
223,6.0,4.69
224,4.0,4.72
225,2.0,4.7
226,12.0,4.76
227,8.0,4.8
228,6.0,4.86
229,1.0,4.85
230,3.0,4.85
231,6.0,4.9
232,6.0,4.92
233,8.0,4.98
234,6.0,5.01
235,5.0,5.01
236,8.0,5.07
237,1.0,5.05
238,4.0,5.08
239,4.0,5.09
240,9.0,5.16
241,7.0,5.18
242,10.0,5.26
243,7.0,5.26
244,3.0,5.22
245,8.0,5.24
246,6.0,5.24
247,6.0,5.26
248,2.0,5.24
249,5.0,5.25
250,12.0,5.33
251,5.0,5.35
252,5.0,5.33
253,7.0,5.33
254,3.0,5.31
255,10.0,5.38
256,7.0,5.42
257,4.0,5.45
258,6.0,5.45
259,6.0,5.45
260,8.0,5.48
261,5.0,5.5
262,9.0,5.58
263,6.0,5.6
264,10.0,5.65
265,7.0,5.67
266,5.0,5.66
267,2.0,5.63
268,5.0,5.66
269,12.0,5.73
270,12.0,5.79
271,7.0,5.86
272,3.0,5.84
273,11.0,5.88
274,4.0,5.9
275,9.0,5.92
276,9.0,5.92
277,5.0,5.94
278,5.0,5.98
279,9.0,6.02
280,10.0,6.03
281,8.0,6.1
282,10.0,6.15
283,8.0,6.17
284,7.0,6.19
285,5.0,6.18
286,8.0,6.23
287,2.0,6.19
288,6.0,6.2
289,9.0,6.27
290,8.0,6.28
291,10.0,6.32
292,9.0,6.36
293,2.0,6.36
294,7.0,6.38
295,11.0,6.43
296,8.0,6.48
297,7.0,6.47
298,4.0,6.46
299,4.0,6.45
300,9.0,6.48
301,7.0,6.51
302,9.0,6.55
303,12.0,6.6
304,7.0,6.61
305,6.0,6.64
306,1.0,6.57
307,15.0,6.64
308,1.0,6.58
309,13.0,6.67
310,10.0,6.72
311,6.0,6.71
312,6.0,6.71
313,8.0,6.71
314,11.0,6.78
315,8.0,6.8
316,11.0,6.87
317,1.0,6.74
318,11.0,6.78
319,8.0,6.81
320,6.0,6.81
321,3.0,6.79
322,10.0,6.83
323,6.0,6.83
324,13.0,6.92
325,7.0,6.97
326,9.0,6.94
327,5.0,6.91
328,10.0,6.95
329,9.0,7.03
330,8.0,7.08
331,11.0,7.13
332,6.0,7.13
333,4.0,7.09
334,6.0,7.09
335,12.0,7.16
336,10.0,7.18
337,9.0,7.26
338,11.0,7.33
339,6.0,7.35
340,8.0,7.34
341,10.0,7.37
342,8.0,7.35
343,8.0,7.36
344,9.0,7.42
345,14.0,7.48
346,6.0,7.48
347,9.0,7.51
348,6.0,7.55
349,11.0,7.61
350,8.0,7.57
351,9.0,7.61
352,8.0,7.64
353,8.0,7.65
354,11.0,7.73
355,8.0,7.71
356,12.0,7.76
357,13.0,7.85
358,10.0,7.89
359,11.0,7.94
360,6.0,7.92
361,7.0,7.94
362,9.0,7.94
363,12.0,8.0
364,3.0,7.93
365,7.0,7.93
366,9.0,7.97
367,4.0,7.99
368,12.0,8.06
369,11.0,8.05
370,9.0,8.02
371,11.0,8.06
372,9.0,8.12
373,12.0,8.13
374,4.0,8.13
375,8.0,8.12
376,12.0,8.15
377,12.0,8.22
378,4.0,8.21
379,14.0,8.26
380,6.0,8.22
381,9.0,8.23
382,5.0,8.18
383,9.0,8.19
384,9.0,8.21
385,9.0,8.25
386,10.0,8.27
387,12.0,8.37
388,12.0,8.43
389,14.0,8.48
390,6.0,8.46
391,9.0,8.45
392,8.0,8.44
393,8.0,8.5
394,4.0,8.47
395,14.0,8.5
396,4.0,8.46
397,7.0,8.46
398,10.0,8.52
399,7.0,8.55
400,9.0,8.55
401,8.0,8.56
402,11.0,8.58
403,3.0,8.49
404,14.0,8.56
405,16.0,8.66
406,10.0,8.75
407,13.0,8.73
408,3.0,8.75
409,9.0,8.71
410,11.0,8.72
411,6.0,8.72
412,16.0,8.82
413,10.0,8.84
414,12.0,8.85
415,10.0,8.87
416,12.0,8.88
417,13.0,9.0
418,10.0,8.99
419,18.0,9.09
420,10.0,9.13
421,9.0,9.19
422,13.0,9.22
423,2.0,9.18
424,15.0,9.2
425,5.0,9.18
426,13.0,9.22
427,17.0,9.34
428,15.0,9.39
429,16.0,9.46
430,7.0,9.45
431,7.0,9.41
432,16.0,9.51
433,13.0,9.6
434,16.0,9.7
435,12.0,9.7
436,18.0,9.78
437,13.0,9.82
438,5.0,9.76
439,14.0,9.84
440,16.0,9.92
441,7.0,9.89
442,11.0,9.92
443,10.0,9.94
444,10.0,9.95
445,8.0,9.89
446,14.0,9.97
447,15.0,10.03
448,9.0,10.06
449,12.0,10.07
450,2.0,10.01
451,11.0,10.03
452,12.0,10.07
453,17.0,10.16
454,7.0,10.12
455,9.0,10.13
456,16.0,10.17
457,1.0,10.05
458,14.0,10.09
459,6.0,10.04
460,11.0,10.09
461,14.0,10.16
462,8.0,10.15
463,9.0,10.12
464,10.0,10.19
465,16.0,10.28
466,17.0,10.36
467,12.0,10.44
468,10.0,10.42
469,19.0,10.5
470,8.0,10.49
471,2.0,10.4
472,15.0,10.46
473,2.0,10.36
474,16.0,10.48
475,10.0,10.5
476,17.0,10.55
477,15.0,10.58
478,2.0,10.56
479,14.0,10.56
480,4.0,10.54
481,12.0,10.57
482,11.0,10.63
483,17.0,10.71
484,8.0,10.7
485,6.0,10.67
486,15.0,10.72
487,19.0,10.79
488,10.0,10.77
489,13.0,10.76
490,8.0,10.78
491,11.0,10.8
492,13.0,10.85
493,16.0,10.93
494,9.0,10.98
495,6.0,10.9
496,16.0,11.02
497,10.0,11.05
498,11.0,11.06
499,15.0,11.14
500,11.0,11.16
501,13.0,11.21
502,14.0,11.24
503,15.0,11.36
504,15.0,11.37
505,13.0,11.34
506,15.0,11.39
507,10.0,11.36
508,12.0,11.45
509,12.0,11.48
510,9.0,11.46
511,11.0,11.51
512,13.0,11.48
513,14.0,11.52
514,7.0,11.47
515,12.0,11.49
516,13.0,11.5
517,13.0,11.5
518,12.0,11.52
519,15.0,11.49
520,11.0,11.5
521,18.0,11.59
522,21.0,11.67
523,16.0,11.81
524,12.0,11.78
525,9.0,11.82
526,11.0,11.8
527,10.0,11.73
528,14.0,11.72
529,3.0,11.59
530,14.0,11.66
531,13.0,11.72
532,10.0,11.66
533,9.0,11.62
534,17.0,11.63
535,12.0,11.63
536,14.0,11.59
537,12.0,11.58
538,6.0,11.59
539,12.0,11.57
540,3.0,11.44
541,9.0,11.46
542,10.0,11.45
543,16.0,11.51
544,20.0,11.61
545,15.0,11.68
546,10.0,11.64
547,11.0,11.6
548,8.0,11.59
549,15.0,11.62
550,12.0,11.72
551,12.0,11.73
552,12.0,11.73
553,17.0,11.73
554,9.0,11.75
555,13.0,11.79
556,16.0,11.79
557,12.0,11.9
558,14.0,11.9
559,6.0,11.9
560,13.0,11.92
561,17.0,11.95
562,16.0,12.03
563,8.0,12.02
564,13.0,12.05
565,8.0,11.97
566,14.0,11.94
567,13.0,11.95
568,14.0,11.99
569,10.0,11.9
570,14.0,11.96
571,8.0,12.02
572,11.0,11.98
573,20.0,12.16
574,7.0,12.07
575,8.0,12.05
576,15.0,12.03
577,8.0,11.96
578,9.0,12.03
579,14.0,12.03
580,4.0,12.03
581,12.0,12.03
582,13.0,12.05
583,13.0,12.01
584,15.0,12.08
585,15.0,12.17
586,12.0,12.14
587,17.0,12.12
588,15.0,12.17
589,13.0,12.17
590,15.0,12.24
591,12.0,12.25
592,16.0,12.28
593,11.0,12.23
594,14.0,12.28
595,13.0,12.35
596,14.0,12.33
597,17.0,12.4
598,17.0,12.46
599,15.0,12.46
600,5.0,12.4
601,21.0,12.48
602,17.0,12.51
603,11.0,12.47
604,15.0,12.47
605,14.0,12.48
606,8.0,12.41
607,15.0,12.46
608,15.0,12.49
609,9.0,12.46
610,12.0,12.49
611,12.0,12.5
612,15.0,12.52
613,15.0,12.53
614,19.0,12.65
615,16.0,12.69
616,9.0,12.65
617,14.0,12.66
618,14.0,12.68
619,15.0,12.68
620,12.0,12.69
621,9.0,12.6
622,9.0,12.48
623,11.0,12.43
624,9.0,12.4
625,8.0,12.39
626,3.0,12.31
627,13.0,12.34
628,6.0,12.26
629,12.0,12.35
630,14.0,12.35
631,16.0,12.38
632,16.0,12.44
633,12.0,12.47
634,11.0,12.41
635,16.0,12.45
636,12.0,12.43
637,11.0,12.42
638,24.0,12.6
639,11.0,12.59
640,15.0,12.71
641,16.0,12.78
642,8.0,12.76
643,11.0,12.71
644,14.0,12.65
645,8.0,12.58
646,11.0,12.59
647,7.0,12.55
648,10.0,12.57
649,7.0,12.49
650,9.0,12.46
651,10.0,12.44
652,16.0,12.48
653,16.0,12.47
654,15.0,12.53
655,18.0,12.58
656,10.0,12.52
657,15.0,12.55
658,9.0,12.5
659,13.0,12.57
660,13.0,12.57
661,13.0,12.53
662,17.0,12.54
663,14.0,12.6
664,5.0,12.52
665,16.0,12.6
666,11.0,12.57
667,6.0,12.5
668,5.0,12.41
669,19.0,12.5
670,11.0,12.47
671,10.0,12.49
672,15.0,12.53
673,8.0,12.41
674,12.0,12.46
675,17.0,12.55
676,17.0,12.57
677,13.0,12.62
678,16.0,12.69
679,12.0,12.67
680,12.0,12.75
681,18.0,12.81
682,5.0,12.73
683,13.0,12.73
684,9.0,12.67
685,12.0,12.64
686,19.0,12.71
687,13.0,12.67
688,10.0,12.62
689,12.0,12.61
690,13.0,12.59
691,7.0,12.54
692,17.0,12.55
693,14.0,12.58
694,16.0,12.6
695,5.0,12.52
696,19.0,12.57
697,11.0,12.51
698,17.0,12.51
699,13.0,12.49
700,9.0,12.53
701,12.0,12.44
702,16.0,12.43
703,14.0,12.46
704,14.0,12.45
705,15.0,12.46
706,9.0,12.47
707,8.0,12.4
708,16.0,12.41
709,14.0,12.46
710,15.0,12.49
711,17.0,12.54
712,12.0,12.51
713,8.0,12.44
714,8.0,12.33
715,19.0,12.36
716,3.0,12.3
717,13.0,12.29
718,17.0,12.32
719,12.0,12.29
720,17.0,12.34
721,18.0,12.43
722,15.0,12.49
723,13.0,12.51
724,10.0,12.52
725,14.0,12.58
726,12.0,12.67
727,16.0,12.7
728,21.0,12.85
729,10.0,12.83
730,13.0,12.82
731,17.0,12.83
732,16.0,12.83
733,5.0,12.76
734,11.0,12.76
735,15.0,12.75
736,8.0,12.71
737,9.0,12.69
738,17.0,12.62
739,15.0,12.66
740,9.0,12.6
741,15.0,12.59
