,scores,average_scores
0,0.0,0.0
1,1.0,0.5
2,-2.0,-0.3333333333333333
3,0.0,-0.25
4,-2.0,-0.6
5,1.0,-0.3333333333333333
6,0.0,-0.2857142857142857
7,-1.0,-0.375
8,0.0,-0.3333333333333333
9,0.0,-0.3
10,-1.0,-0.36363636363636365
11,0.0,-0.3333333333333333
12,0.0,-0.3076923076923077
13,0.0,-0.2857142857142857
14,4.0,0.0
15,-1.0,-0.0625
16,2.0,0.058823529411764705
17,1.0,0.1111111111111111
18,0.0,0.10526315789473684
19,1.0,0.15
20,0.0,0.14285714285714285
21,2.0,0.22727272727272727
22,-1.0,0.17391304347826086
23,0.0,0.16666666666666666
24,-1.0,0.12
25,0.0,0.11538461538461539
26,0.0,0.1111111111111111
27,3.0,0.21428571428571427
28,3.0,0.3103448275862069
29,1.0,0.3333333333333333
30,0.0,0.3225806451612903
31,-1.0,0.28125
32,3.0,0.36363636363636365
33,-1.0,0.3235294117647059
34,1.0,0.34285714285714286
35,0.0,0.3333333333333333
36,-1.0,0.2972972972972973
37,1.0,0.3157894736842105
38,0.0,0.3076923076923077
39,1.0,0.325
40,-1.0,0.2926829268292683
41,0.0,0.2857142857142857
42,0.0,0.27906976744186046
43,0.0,0.2727272727272727
44,3.0,0.3333333333333333
45,0.0,0.32608695652173914
46,0.0,0.3191489361702128
47,4.0,0.3958333333333333
48,0.0,0.3877551020408163
49,2.0,0.42
50,0.0,0.4117647058823529
51,0.0,0.40384615384615385
52,2.0,0.4339622641509434
53,-1.0,0.4074074074074074
54,1.0,0.41818181818181815
55,1.0,0.42857142857142855
56,4.0,0.49122807017543857
57,2.0,0.5172413793103449
58,1.0,0.5254237288135594
59,2.0,0.55
60,1.0,0.5573770491803278
61,1.0,0.5645161290322581
62,0.0,0.5555555555555556
63,0.0,0.546875
64,1.0,0.5538461538461539
65,1.0,0.5606060606060606
66,2.0,0.582089552238806
67,0.0,0.5735294117647058
68,0.0,0.5652173913043478
69,1.0,0.5714285714285714
70,2.0,0.5915492957746479
71,-1.0,0.5694444444444444
72,6.0,0.6438356164383562
73,0.0,0.6351351351351351
74,3.0,0.6666666666666666
75,3.0,0.6973684210526315
76,4.0,0.7402597402597403
77,3.0,0.7692307692307693
78,2.0,0.7848101265822784
79,2.0,0.8
80,3.0,0.8271604938271605
81,3.0,0.8536585365853658
82,2.0,0.8674698795180723
83,3.0,0.8928571428571429
84,3.0,0.9176470588235294
85,1.0,0.9186046511627907
86,2.0,0.9310344827586207
87,2.0,0.9431818181818182
88,1.0,0.9438202247191011
89,4.0,0.9777777777777777
90,1.0,0.978021978021978
91,1.0,0.9782608695652174
92,0.0,0.967741935483871
93,1.0,0.9680851063829787
94,0.0,0.9578947368421052
95,0.0,0.9479166666666666
96,1.0,0.9484536082474226
97,1.0,0.9489795918367347
98,4.0,0.9797979797979798
99,1.0,0.98
100,2.0,1.0
101,3.0,1.02
102,5.0,1.09
103,0.0,1.09
104,2.0,1.13
105,2.0,1.14
106,2.0,1.16
107,2.0,1.19
108,3.0,1.22
109,8.0,1.3
110,3.0,1.34
111,5.0,1.39
112,7.0,1.46
113,1.0,1.47
114,7.0,1.5
115,9.0,1.6
116,4.0,1.62
117,1.0,1.62
118,2.0,1.64
119,6.0,1.69
120,3.0,1.72
121,5.0,1.75
122,6.0,1.82
123,1.0,1.83
124,6.0,1.9
125,1.0,1.91
126,4.0,1.95
127,5.0,1.97
128,5.0,1.99
129,8.0,2.06
130,1.0,2.07
131,5.0,2.13
132,7.0,2.17
133,2.0,2.2
134,5.0,2.24
135,9.0,2.33
136,6.0,2.4
137,6.0,2.45
138,2.0,2.47
139,4.0,2.5
140,7.0,2.58
141,2.0,2.6
142,0.0,2.6
143,8.0,2.68
144,6.0,2.71
145,5.0,2.76
146,3.0,2.79
147,3.0,2.78
148,5.0,2.83
149,5.0,2.86
150,6.0,2.92
151,5.0,2.97
152,8.0,3.03
153,6.0,3.1
154,10.0,3.19
155,7.0,3.25
156,6.0,3.27
157,5.0,3.3
158,2.0,3.31
159,1.0,3.3
160,11.0,3.4
161,14.0,3.53
162,6.0,3.59
163,4.0,3.63
164,9.0,3.71
165,7.0,3.77
166,6.0,3.81
167,6.0,3.87
168,3.0,3.9
169,-1.0,3.88
170,10.0,3.96
171,6.0,4.03
172,3.0,4.0
173,7.0,4.07
174,4.0,4.08
175,5.0,4.1
176,7.0,4.13
177,2.0,4.12
178,8.0,4.18
179,1.0,4.17
180,5.0,4.19
181,7.0,4.23
182,11.0,4.32
183,6.0,4.35
184,2.0,4.34
185,0.0,4.33
186,8.0,4.39
187,5.0,4.42
188,11.0,4.52
189,11.0,4.59
190,11.0,4.69
191,9.0,4.77
192,10.0,4.87
193,3.0,4.89
194,11.0,5.0
195,8.0,5.08
196,3.0,5.1
197,6.0,5.15
198,4.0,5.15
199,12.0,5.26
200,8.0,5.32
201,11.0,5.4
202,9.0,5.44
203,9.0,5.53
204,12.0,5.63
205,2.0,5.63
206,9.0,5.7
207,9.0,5.77
208,10.0,5.84
209,12.0,5.88
210,5.0,5.9
211,4.0,5.89
212,10.0,5.92
213,1.0,5.92
214,9.0,5.94
215,10.0,5.95
216,5.0,5.96
217,5.0,6.0
218,11.0,6.09
219,4.0,6.07
220,9.0,6.13
221,8.0,6.16
222,8.0,6.18
223,10.0,6.27
224,14.0,6.35
225,4.0,6.38
226,3.0,6.37
227,10.0,6.42
228,11.0,6.48
229,5.0,6.45
230,10.0,6.54
231,6.0,6.55
232,7.0,6.55
233,8.0,6.61
234,7.0,6.63
235,9.0,6.63
236,10.0,6.67
237,10.0,6.71
238,7.0,6.76
239,2.0,6.74
240,11.0,6.78
241,5.0,6.81
242,3.0,6.84
243,6.0,6.82
244,7.0,6.83
245,12.0,6.9
246,5.0,6.92
247,12.0,7.01
248,9.0,7.05
249,12.0,7.12
250,5.0,7.11
251,9.0,7.15
252,7.0,7.14
253,12.0,7.2
254,5.0,7.15
255,4.0,7.12
256,4.0,7.1
257,7.0,7.12
258,8.0,7.18
259,7.0,7.24
260,7.0,7.2
261,12.0,7.18
262,7.0,7.19
263,5.0,7.2
264,15.0,7.26
265,8.0,7.27
266,3.0,7.24
267,9.0,7.27
268,8.0,7.32
269,11.0,7.44
270,7.0,7.41
271,4.0,7.39
272,7.0,7.43
273,8.0,7.44
274,12.0,7.52
275,9.0,7.56
276,13.0,7.62
277,11.0,7.71
278,6.0,7.69
279,11.0,7.79
280,9.0,7.83
281,4.0,7.8
282,13.0,7.82
283,12.0,7.88
284,14.0,8.0
285,8.0,8.08
286,2.0,8.02
287,5.0,8.02
288,8.0,7.99
289,7.0,7.95
290,9.0,7.93
291,9.0,7.93
292,5.0,7.88
293,6.0,7.91
294,7.0,7.87
295,17.0,7.96
296,9.0,8.02
297,16.0,8.12
298,4.0,8.12
299,7.0,8.07
300,11.0,8.1
301,14.0,8.13
302,11.0,8.15
303,12.0,8.18
304,11.0,8.17
305,6.0,8.21
306,16.0,8.28
307,9.0,8.28
308,10.0,8.28
309,12.0,8.28
310,14.0,8.37
311,14.0,8.47
312,17.0,8.54
313,7.0,8.6
314,8.0,8.59
315,10.0,8.59
316,10.0,8.64
317,10.0,8.69
318,9.0,8.67
319,6.0,8.69
320,7.0,8.67
321,8.0,8.67
322,15.0,8.74
323,6.0,8.7
324,11.0,8.67
325,9.0,8.72
326,9.0,8.78
327,13.0,8.81
328,14.0,8.84
329,11.0,8.9
330,10.0,8.9
331,12.0,8.96
332,4.0,8.93
333,17.0,9.02
334,12.0,9.07
335,13.0,9.11
336,5.0,9.06
337,9.0,9.05
338,10.0,9.08
339,17.0,9.23
340,14.0,9.26
341,5.0,9.26
342,2.0,9.25
343,17.0,9.36
344,8.0,9.37
345,7.0,9.32
346,17.0,9.44
347,10.0,9.42
348,11.0,9.44
349,9.0,9.41
350,14.0,9.5
351,7.0,9.48
352,13.0,9.54
353,8.0,9.5
354,12.0,9.57
355,15.0,9.68
356,11.0,9.75
357,13.0,9.81
358,11.0,9.84
359,12.0,9.89
360,7.0,9.89
361,16.0,9.93
362,8.0,9.94
363,10.0,9.99
364,11.0,9.95
365,8.0,9.95
366,10.0,10.02
367,8.0,10.01
368,9.0,10.02
369,11.0,10.02
370,14.0,10.09
371,4.0,10.09
372,15.0,10.17
373,12.0,10.21
374,10.0,10.19
375,16.0,10.26
376,13.0,10.26
377,12.0,10.27
378,10.0,10.31
379,11.0,10.31
380,9.0,10.31
381,12.0,10.39
382,18.0,10.44
383,14.0,10.46
384,11.0,10.43
385,9.0,10.44
386,16.0,10.58
387,10.0,10.63
388,5.0,10.6
389,12.0,10.65
390,11.0,10.67
391,9.0,10.67
392,11.0,10.73
393,16.0,10.83
394,16.0,10.92
395,10.0,10.85
396,18.0,10.94
397,9.0,10.87
398,9.0,10.92
399,13.0,10.98
400,15.0,11.02
401,12.0,11.0
402,18.0,11.07
403,9.0,11.04
404,6.0,10.99
405,15.0,11.08
406,18.0,11.1
407,13.0,11.14
408,11.0,11.15
409,8.0,11.11
410,11.0,11.08
411,12.0,11.06
412,14.0,11.03
413,10.0,11.06
414,13.0,11.11
415,12.0,11.13
416,7.0,11.1
417,11.0,11.11
418,8.0,11.1
419,18.0,11.22
420,15.0,11.3
421,17.0,11.39
422,15.0,11.39
423,15.0,11.48
424,4.0,11.41
425,12.0,11.44
426,6.0,11.41
427,11.0,11.39
428,11.0,11.36
429,15.0,11.4
430,9.0,11.39
431,12.0,11.39
432,15.0,11.5
433,7.0,11.4
434,16.0,11.44
435,16.0,11.47
436,16.0,11.58
437,13.0,11.62
438,14.0,11.66
439,12.0,11.61
440,11.0,11.58
441,15.0,11.68
442,15.0,11.81
443,12.0,11.76
444,7.0,11.75
445,14.0,11.82
446,11.0,11.76
447,10.0,11.76
448,10.0,11.75
449,8.0,11.74
450,17.0,11.77
451,11.0,11.81
452,12.0,11.8
453,21.0,11.93
454,17.0,11.98
455,13.0,11.96
456,15.0,12.0
457,14.0,12.01
458,16.0,12.06
459,5.0,11.99
460,18.0,12.1
461,18.0,12.12
462,5.0,12.09
463,14.0,12.13
464,16.0,12.18
465,8.0,12.18
466,11.0,12.19
467,13.0,12.24
468,11.0,12.26
469,8.0,12.23
470,18.0,12.27
471,20.0,12.43
472,11.0,12.39
473,14.0,12.41
474,12.0,12.43
475,16.0,12.43
476,16.0,12.46
477,16.0,12.5
478,14.0,12.54
479,14.0,12.57
480,17.0,12.65
481,17.0,12.7
482,19.0,12.71
483,18.0,12.75
484,16.0,12.8
485,15.0,12.86
486,13.0,12.83
487,10.0,12.83
488,16.0,12.94
489,15.0,12.97
490,12.0,12.98
491,8.0,12.97
492,14.0,13.0
