,scores,average_scores
0,1.0,1.0
1,0.0,0.5
2,0.0,0.3333333333333333
3,0.0,0.25
4,-1.0,0.0
5,-1.0,-0.16666666666666666
6,1.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,-1.0,-0.09090909090909091
11,0.0,-0.08333333333333333
12,1.0,0.0
13,-1.0,-0.07142857142857142
14,0.0,-0.06666666666666667
15,-1.0,-0.125
16,-1.0,-0.17647058823529413
17,1.0,-0.1111111111111111
18,0.0,-0.10526315789473684
19,0.0,-0.1
20,2.0,0.0
21,0.0,0.0
22,1.0,0.043478260869565216
23,1.0,0.08333333333333333
24,0.0,0.08
25,1.0,0.11538461538461539
26,-1.0,0.07407407407407407
27,2.0,0.14285714285714285
28,-1.0,0.10344827586206896
29,-2.0,0.03333333333333333
30,-2.0,-0.03225806451612903
31,1.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,-1.0,-0.02702702702702703
37,0.0,-0.02631578947368421
38,0.0,-0.02564102564102564
39,0.0,-0.025
40,3.0,0.04878048780487805
41,1.0,0.07142857142857142
42,0.0,0.06976744186046512
43,0.0,0.06818181818181818
44,1.0,0.08888888888888889
45,-1.0,0.06521739130434782
46,1.0,0.0851063829787234
47,-2.0,0.041666666666666664
48,0.0,0.04081632653061224
49,-1.0,0.02
50,1.0,0.0392156862745098
51,0.0,0.038461538461538464
52,-1.0,0.018867924528301886
53,3.0,0.07407407407407407
54,1.0,0.09090909090909091
55,1.0,0.10714285714285714
56,1.0,0.12280701754385964
57,0.0,0.1206896551724138
58,2.0,0.15254237288135594
59,2.0,0.18333333333333332
60,-2.0,0.14754098360655737
61,3.0,0.1935483870967742
62,0.0,0.19047619047619047
63,1.0,0.203125
64,6.0,0.2923076923076923
65,3.0,0.3333333333333333
66,1.0,0.34328358208955223
67,1.0,0.35294117647058826
68,-2.0,0.3188405797101449
69,1.0,0.32857142857142857
70,0.0,0.323943661971831
71,0.0,0.3194444444444444
72,-1.0,0.3013698630136986
73,1.0,0.3108108108108108
74,3.0,0.3466666666666667
75,0.0,0.34210526315789475
76,-2.0,0.3116883116883117
77,-1.0,0.2948717948717949
78,0.0,0.2911392405063291
79,1.0,0.3
80,0.0,0.2962962962962963
81,0.0,0.2926829268292683
82,2.0,0.3132530120481928
83,0.0,0.30952380952380953
84,0.0,0.3058823529411765
85,2.0,0.32558139534883723
86,2.0,0.3448275862068966
87,2.0,0.36363636363636365
88,-1.0,0.34831460674157305
89,0.0,0.34444444444444444
90,2.0,0.3626373626373626
91,1.0,0.3695652173913043
92,2.0,0.3870967741935484
93,2.0,0.40425531914893614
94,0.0,0.4
95,3.0,0.4270833333333333
96,2.0,0.44329896907216493
97,3.0,0.46938775510204084
98,1.0,0.47474747474747475
99,4.0,0.51
100,2.0,0.52
101,2.0,0.54
102,3.0,0.57
103,5.0,0.62
104,8.0,0.71
105,-1.0,0.71
106,2.0,0.72
107,4.0,0.76
108,3.0,0.79
109,3.0,0.82
110,2.0,0.85
111,4.0,0.89
112,0.0,0.88
113,6.0,0.95
114,4.0,0.99
115,5.0,1.05
116,2.0,1.08
117,5.0,1.12
118,7.0,1.19
119,1.0,1.2
120,0.0,1.18
121,7.0,1.25
122,2.0,1.26
123,5.0,1.3
124,2.0,1.32
125,4.0,1.35
126,2.0,1.38
127,1.0,1.37
128,5.0,1.43
129,3.0,1.48
130,5.0,1.55
131,1.0,1.55
132,3.0,1.58
133,2.0,1.6
134,2.0,1.62
135,4.0,1.66
136,1.0,1.68
137,7.0,1.75
138,3.0,1.78
139,5.0,1.83
140,2.0,1.82
141,5.0,1.86
142,4.0,1.9
143,6.0,1.96
144,4.0,1.99
145,6.0,2.06
146,3.0,2.08
147,6.0,2.16
148,4.0,2.2
149,3.0,2.24
150,2.0,2.25
151,5.0,2.3
152,4.0,2.35
153,4.0,2.36
154,1.0,2.36
155,1.0,2.36
156,4.0,2.39
157,5.0,2.44
158,5.0,2.47
